#Table1
ra,dec,deVRad_r,z
10.210066121666,-9.22311962274953,2.985548,0.05396358
10.3037842242421,-9.15011487951187,2.405194,0.05309287
10.2578203437677,-9.20920863743095,3.766944,0.05391905
10.5781644677536,-9.257911536351,3.359478,0.05575849
10.6009449420568,-9.27125835880402,6.374638,0.0605566
10.530706887229,-9.23846721014481,3.804334,0.0556262
10.3266504471232,-9.48658021040098,2.390922,0.05798199
10.3291991387461,-9.38985124832006,5.115845,0.04974566
10.3314638745339,-9.41907574241801,2.215203,0.05464386
10.3406016300655,-9.3286182382853,1.314258,0.0541519
10.4224456603334,-9.43929794582243,1.02751,0.05429577
10.4315098172443,-9.42512797087937,2.23394,0.05640796
10.4847735534312,-9.38239039381372,0.766377,0.05929794
10.6035743749474,-9.20540122119372,1.208061,0.05553632
10.6412648801623,-9.14620489215311,10.59799,0.05562413
10.6425474491837,-9.18140368765933,1.583293,0.05446975
10.3013760973957,-9.34317628465008,3.282682,0.05593614
10.4123905431358,-9.4633283127356,3.01827,0.05710636
10.4410573721956,-9.44298643288042,3.090032,0.05323026
10.4772921197885,-9.43274556976798,1.342259,0.05720343
10.4503219883633,-9.45844588246104,2.686177,0.05729433
10.4590605220688,-9.42984288545862,5.068646,0.05778922
10.4597896521253,-9.4717227408294,3.210012,0.05733609
10.4599339142622,-9.32712241839073,0.7125044,0.05938149
10.5136335914881,-9.47106096415715,3.457467,0.05216512
10.5317530204675,-9.47654023099243,2.695368,0.05697675
10.5377271726862,-9.43374353175228,1.850852,0.05861285
10.5460653703322,-9.50839359375974,2.533121,0.05474775
10.5489884845454,-9.45911101663506,1.203699,0.05702037
10.5638005198486,-9.43931893799394,0.8509657,0.0553414
10.5719863538578,-9.4799601769346,4.058921,0.0528341
10.5800159278153,-9.3877097695495,6.123695,0.05808372
10.5829015670716,-9.4243085588309,3.420054,0.05113877
10.583186035792,-9.35523054077762,2.124283,0.05633738
10.6141803610874,-9.42463846185608,1.945664,0.05673646
10.6357462491929,-9.4541758408874,2.18594,0.05735455
10.6633531365504,-9.33528878245294,3.544176,0.05360343
10.6677285767133,-9.39914592774104,3.778085,0.05499313
10.5209393275292,-9.53443863719246,29.67277,0.05280381
10.3270816645981,-9.07740789818012,3.29724,0.059814
10.4907923567973,-9.31533341710756,0.7868792,0.05040387
10.3660976488448,-9.3915482109528,3.131285,0.04931
10.4269723138543,-9.35717907537022,2.315378,0.04911741
10.3769654344275,-9.35906217016942,2.660605,0.05450458
10.3956156615172,-9.36066025531377,1.847095,0.05700626
10.4008962927685,-9.32508431407013,1.719214,0.05451584
10.4142949060847,-9.41457320276482,4.333133,0.05986678
10.444972707304,-9.38691334391174,4.00113,0.05885689
10.4729417293971,-9.49553030250926,12.32301,0.0509455
10.4663133958952,-9.5328932265214,2.018741,0.05585414
10.4701909961703,-9.35839302924028,2.069288,0.06104371
10.3961017436717,-9.09332426355523,2.311388,0.05941015
10.4287885571018,-9.1042447687455,2.966583,0.05338815
10.4822367653072,-9.0429903770215,3.287468,0.05795268
10.4051875284361,-9.54819323316181,1.385876,0.05926879
10.2771965338373,-9.29694791558835,2.664287,0.05822562
10.3009121609302,-9.16952515329345,2.899121,0.0559333
10.2985975210279,-9.17143299566096,2.615635,0.05379623
10.3319430124661,-9.24537861146043,1.010902,0.05107649
10.3328783132993,-9.28389562260272,0.5772564,0.05543386
10.3442102747406,-9.30961216076381,3.393633,0.05881028
10.3767974242959,-9.23519898737385,3.085087,0.05488811
10.3790962484291,-9.29833423026967,2.327662,0.05700754
10.3797111370278,-9.19313395779703,1.826395,0.05382713
10.3886342317179,-9.24904564057494,3.613912,0.05851874
10.3892318008734,-9.15650251573571,3.286581,0.06048861
10.4000248494032,-9.18731115680485,2.468405,0.05550892
10.4049453323403,-9.22099312091401,3.181712,0.05865212
10.4181235112844,-9.1716754443948,4.369956,0.0546024
10.4198670598216,-9.27545698722113,1.053416,0.05481067
10.4509525757623,-9.28421646937134,3.026681,0.0528485
10.4602114327115,-9.30318353258538,0.8823506,0.05535877
10.4410517317592,-9.16242461573648,2.272395,0.05158436
10.446805849736,-9.13706426242601,2.459591,0.05524607
10.4898030218272,-9.28199630188134,0.9086587,0.05718639
10.5022545799097,-9.20073322713667,2.118697,0.05950171
10.5090889884313,-9.24104593224228,0.8946251,0.05347047
10.5104085682355,-9.14456961033657,3.022168,0.0560243
10.5198624519485,-9.13245446783863,1.729192,0.05311057
10.5903025509726,-9.11667253925238,3.408495,0.05240568
